"","Year","Month","Day","Maximum.temperature..Degree.C."
"1",2013,"June",1,15.8
"2",2013,"June",2,15.7
"3",2013,"June",3,14.8
"4",2013,"June",4,15
"5",2013,"June",5,14.6
"6",2013,"June",6,17.3
"7",2013,"June",7,14.5
"8",2013,"June",8,15.7
"9",2013,"June",9,14.4
"10",2013,"June",10,16.9
"11",2013,"June",11,14.8
"12",2013,"June",12,13.3
"13",2013,"June",13,12.8
"14",2013,"June",14,13.8
"15",2013,"June",15,14.2
"16",2013,"June",16,14.1
"17",2013,"June",17,11.6
"18",2013,"June",18,14.8
"19",2013,"June",19,14.1
"20",2013,"June",20,14.9
"21",2013,"June",21,15
"22",2013,"June",22,12.7
"23",2013,"June",23,12.3
"24",2013,"June",24,12.3
"25",2013,"June",25,16.4
"26",2013,"June",26,17.6
"27",2013,"June",27,18.2
"28",2013,"June",28,16.4
"29",2013,"June",29,13.3
"30",2013,"June",30,18.3
"31",2013,"July",1,17.9
"32",2013,"July",2,18.8
"33",2013,"July",3,16.2
"34",2013,"July",4,16.8
"35",2013,"July",5,14.1
"36",2013,"July",6,15.6
"37",2013,"July",7,13.6
"38",2013,"July",8,13.9
"39",2013,"July",9,13.6
"40",2013,"July",10,15.3
"41",2013,"July",11,16.3
"42",2013,"July",12,17.3
"43",2013,"July",13,15.4
"44",2013,"July",14,16.3
"45",2013,"July",15,18.5
"46",2013,"July",16,16.8
"47",2013,"July",17,18.7
"48",2013,"July",18,23.8
"49",2013,"July",19,16.9
"50",2013,"July",20,9.9
"51",2013,"July",21,10.7
"52",2013,"July",22,14.7
"53",2013,"July",23,12.9
"54",2013,"July",24,14
"55",2013,"July",25,12.5
"56",2013,"July",26,15
"57",2013,"July",27,14.2
"58",2013,"July",28,18.6
"59",2013,"July",29,19.2
"60",2013,"July",30,14.4
"61",2013,"July",31,15
"62",2013,"August",1,14.1
"63",2013,"August",2,14.2
"64",2013,"August",3,13.3
"65",2013,"August",4,13.7
"66",2013,"August",5,15.9
"67",2013,"August",6,16
"68",2013,"August",7,13.8
"69",2013,"August",8,13.4
"70",2013,"August",9,12.2
"71",2013,"August",10,17.9
"72",2013,"August",11,16.3
"73",2013,"August",12,14.1
"74",2013,"August",13,16.5
"75",2013,"August",14,14.4
"76",2013,"August",15,16.9
"77",2013,"August",16,17.9
"78",2013,"August",17,15.7
"79",2013,"August",18,17.6
"80",2013,"August",19,12.8
"81",2013,"August",20,12.7
"82",2013,"August",21,14.1
"83",2013,"August",22,15.1
"84",2013,"August",23,14.8
"85",2013,"August",24,16.5
"86",2013,"August",25,17.3
"87",2013,"August",26,19.4
"88",2013,"August",27,20.3
"89",2013,"August",28,22.4
"90",2013,"August",29,23.8
"91",2013,"August",30,19.1
"92",2013,"August",31,22.2
"93",2013,"September",1,23.4
"94",2013,"September",2,18.8
"95",2013,"September",3,24.2
"96",2013,"September",4,24.1
"97",2013,"September",5,19.7
"98",2013,"September",6,15.2
"99",2013,"September",7,17.9
"100",2013,"September",8,16.8
"101",2013,"September",9,23.2
"102",2013,"September",10,16.6
"103",2013,"September",11,16.9
"104",2013,"September",12,13.9
"105",2013,"September",13,16.4
"106",2013,"September",14,17.5
"107",2013,"September",15,21.9
"108",2013,"September",16,16.9
"109",2013,"September",17,17.7
"110",2013,"September",18,19.7
"111",2013,"September",19,17.2
"112",2013,"September",20,17.1
"113",2013,"September",21,19.4
"114",2013,"September",22,21.7
"115",2013,"September",23,24.3
"116",2013,"September",24,24
"117",2013,"September",25,23.6
"118",2013,"September",26,15.3
"119",2013,"September",27,20.3
"120",2013,"September",28,15.9
"121",2013,"September",29,21
"122",2013,"September",30,23.8
"123",2013,"October",1,16.3
"124",2013,"October",2,17.1
"125",2013,"October",3,14.7
"126",2013,"October",4,21
"127",2013,"October",5,25.2
"128",2013,"October",6,17.9
"129",2013,"October",7,16.9
"130",2013,"October",8,20.8
"131",2013,"October",9,26.7
"132",2013,"October",10,15.5
"133",2013,"October",11,20.6
"134",2013,"October",12,25.4
"135",2013,"October",13,17
"136",2013,"October",14,14.4
"137",2013,"October",15,19.4
"138",2013,"October",16,28
"139",2013,"October",17,15.3
"140",2013,"October",18,22
"141",2013,"October",19,26.5
"142",2013,"October",20,31.6
"143",2013,"October",21,17.4
"144",2013,"October",22,16.1
"145",2013,"October",23,15.3
"146",2013,"October",24,14.3
"147",2013,"October",25,15.7
"148",2013,"October",26,16.2
"149",2013,"October",27,16.9
"150",2013,"October",28,17.6
"151",2013,"October",29,16.2
"152",2013,"October",30,18
"153",2013,"October",31,16.2
"154",2013,"November",1,20.1
"155",2013,"November",2,24.6
"156",2013,"November",3,16.6
"157",2013,"November",4,15.9
"158",2013,"November",5,25
"159",2013,"November",6,30.3
"160",2013,"November",7,25.8
"161",2013,"November",8,17.7
"162",2013,"November",9,15.8
"163",2013,"November",10,16.3
"164",2013,"November",11,18.9
"165",2013,"November",12,16
"166",2013,"November",13,14.6
"167",2013,"November",14,15.9
"168",2013,"November",15,17
"169",2013,"November",16,17.1
"170",2013,"November",17,18.6
"171",2013,"November",18,26.9
"172",2013,"November",19,30.6
"173",2013,"November",20,17.8
"174",2013,"November",21,22.7
"175",2013,"November",22,21.9
"176",2013,"November",23,18.7
"177",2013,"November",24,17.7
"178",2013,"November",25,21.7
"179",2013,"November",26,28.2
"180",2013,"November",27,32.7
"181",2013,"November",28,24.1
"182",2013,"November",29,16.7
"183",2013,"November",30,17.9
"184",2013,"December",1,30.8
"185",2013,"December",2,35.5
"186",2013,"December",3,25.4
"187",2013,"December",4,21.1
"188",2013,"December",5,15.6
"189",2013,"December",6,17.5
"190",2013,"December",7,26.1
"191",2013,"December",8,27.6
"192",2013,"December",9,18.1
"193",2013,"December",10,20.3
"194",2013,"December",11,20
"195",2013,"December",12,21.8
"196",2013,"December",13,22.5
"197",2013,"December",14,18.1
"198",2013,"December",15,19.1
"199",2013,"December",16,19.3
"200",2013,"December",17,19.7
"201",2013,"December",18,26.3
"202",2013,"December",19,39.2
"203",2013,"December",20,22.2
"204",2013,"December",21,21
"205",2013,"December",22,28.7
"206",2013,"December",23,17.3
"207",2013,"December",24,21.5
"208",2013,"December",25,31.6
"209",2013,"December",26,26.7
"210",2013,"December",27,21.3
"211",2013,"December",28,36.2
"212",2013,"December",29,18.9
"213",2013,"December",30,20.7
"214",2013,"December",31,24.6
"215",2014,"January",1,26.5
"216",2014,"January",2,21.8
"217",2014,"January",3,21.6
"218",2014,"January",4,20.8
"219",2014,"January",5,26.2
"220",2014,"January",6,18.8
"221",2014,"January",7,19.2
"222",2014,"January",8,27.2
"223",2014,"January",9,32.3
"224",2014,"January",10,34.3
"225",2014,"January",11,21.1
"226",2014,"January",12,20.7
"227",2014,"January",13,29
"228",2014,"January",14,42
"229",2014,"January",15,41.6
"230",2014,"January",16,43.4
"231",2014,"January",17,42.5
"232",2014,"January",18,23.2
"233",2014,"January",19,20.8
"234",2014,"January",20,23.4
"235",2014,"January",21,21.9
"236",2014,"January",22,21.7
"237",2014,"January",23,28.4
"238",2014,"January",24,21.4
"239",2014,"January",25,19.1
"240",2014,"January",26,27.2
"241",2014,"January",27,34.6
"242",2014,"January",28,41
"243",2014,"January",29,22.9
"244",2014,"January",30,28.1
"245",2014,"January",31,24.8
"246",2014,"February",1,27.7
"247",2014,"February",2,38.1
"248",2014,"February",3,34.6
"249",2014,"February",4,25.8
"250",2014,"February",5,30.3
"251",2014,"February",6,34.5
"252",2014,"February",7,35.6
"253",2014,"February",8,40.7
"254",2014,"February",9,39.4
"255",2014,"February",10,22.4
"256",2014,"February",11,25.5
"257",2014,"February",12,25.7
"258",2014,"February",13,25.5
"259",2014,"February",14,25.5
"260",2014,"February",15,28.2
"261",2014,"February",16,21.6
"262",2014,"February",17,24.6
"263",2014,"February",18,30.7
"264",2014,"February",19,24.6
"265",2014,"February",20,20
"266",2014,"February",21,19.4
"267",2014,"February",22,19.3
"268",2014,"February",23,21.2
"269",2014,"February",24,23.9
"270",2014,"February",25,33.2
"271",2014,"February",26,20.6
"272",2014,"February",27,20
"273",2014,"February",28,21.3
"274",2014,"March",1,22.3
"275",2014,"March",2,21.2
"276",2014,"March",3,23.2
"277",2014,"March",4,32.9
"278",2014,"March",5,22.6
"279",2014,"March",6,19.6
"280",2014,"March",7,22
"281",2014,"March",8,27.4
"282",2014,"March",9,32.6
"283",2014,"March",10,32.3
"284",2014,"March",11,31.7
"285",2014,"March",12,20.4
"286",2014,"March",13,21.4
"287",2014,"March",14,25.9
"288",2014,"March",15,29.5
"289",2014,"March",16,20.3
"290",2014,"March",17,25.3
"291",2014,"March",18,24.3
"292",2014,"March",19,21
"293",2014,"March",20,30.3
"294",2014,"March",21,22.7
"295",2014,"March",22,18.1
"296",2014,"March",23,17.7
"297",2014,"March",24,18.2
"298",2014,"March",25,24.4
"299",2014,"March",26,26.9
"300",2014,"March",27,25.8
"301",2014,"March",28,20.5
"302",2014,"March",29,22.1
"303",2014,"March",30,24.3
"304",2014,"March",31,30.5
"305",2014,"April",1,33.1
"306",2014,"April",2,24.9
"307",2014,"April",3,17.7
"308",2014,"April",4,19.4
"309",2014,"April",5,24.2
"310",2014,"April",6,24.3
"311",2014,"April",7,25.5
"312",2014,"April",8,22.1
"313",2014,"April",9,17.9
"314",2014,"April",10,19
"315",2014,"April",11,18.6
"316",2014,"April",12,22.3
"317",2014,"April",13,20.3
"318",2014,"April",14,20.6
"319",2014,"April",15,20.3
"320",2014,"April",16,21
"321",2014,"April",17,23.5
"322",2014,"April",18,18.7
"323",2014,"April",19,17
"324",2014,"April",20,19.2
"325",2014,"April",21,19
"326",2014,"April",22,17.2
"327",2014,"April",23,18.4
"328",2014,"April",24,17
"329",2014,"April",25,20.7
"330",2014,"April",26,19.2
"331",2014,"April",27,16.7
"332",2014,"April",28,22.8
"333",2014,"April",29,20.2
"334",2014,"April",30,16.3
"335",2014,"May",1,15.9
"336",2014,"May",2,14.4
"337",2014,"May",3,16
"338",2014,"May",4,13.2
"339",2014,"May",5,16.9
"340",2014,"May",6,15.4
"341",2014,"May",7,15.3
"342",2014,"May",8,18.7
"343",2014,"May",9,19.1
"344",2014,"May",10,16.3
"345",2014,"May",11,19.6
"346",2014,"May",12,18.7
"347",2014,"May",13,20.8
"348",2014,"May",14,21.1
"349",2014,"May",15,22.9
"350",2014,"May",16,23.4
"351",2014,"May",17,20.3
"352",2014,"May",18,22.4
"353",2014,"May",19,23.5
"354",2014,"May",20,21.8
"355",2014,"May",21,23.7
"356",2014,"May",22,21
"357",2014,"May",23,19.8
"358",2014,"May",24,16.3
"359",2014,"May",25,20.9
"360",2014,"May",26,22.2
"361",2014,"May",27,20.5
"362",2014,"May",28,18.2
"363",2014,"May",29,15.5
"364",2014,"May",30,17.5
"365",2014,"May",31,18.9
"366",2014,"June",1,15.3
"367",2014,"June",2,16.4
"368",2014,"June",3,16.3
"369",2014,"June",4,18.7
"370",2014,"June",5,15.1
"371",2014,"June",6,15.3
"372",2014,"June",7,16.4
"373",2014,"June",8,14.8
"374",2014,"June",9,15.6
"375",2014,"June",10,18.6
"376",2014,"June",11,17.1
"377",2014,"June",12,16.4
"378",2014,"June",13,17.5
"379",2014,"June",14,14.7
"380",2014,"June",15,14.7
"381",2014,"June",16,16.6
"382",2014,"June",17,14.9
"383",2014,"June",18,14.1
"384",2014,"June",19,12.5
"385",2014,"June",20,15.8
"386",2014,"June",21,15.9
"387",2014,"June",22,15.7
"388",2014,"June",23,15
"389",2014,"June",24,14.3
"390",2014,"June",25,15.8
"391",2014,"June",26,16.2
"392",2014,"June",27,15.1
"393",2014,"June",28,13.3
"394",2014,"June",29,11.1
"395",2014,"June",30,13.2
"396",2014,"July",1,13.3
"397",2014,"July",2,16.7
"398",2014,"July",3,13.1
"399",2014,"July",4,12.8
"400",2014,"July",5,15.3
"401",2014,"July",6,13.8
"402",2014,"July",7,15.8
"403",2014,"July",8,15.1
"404",2014,"July",9,11.7
"405",2014,"July",10,14.7
"406",2014,"July",11,14.6
"407",2014,"July",12,10.4
"408",2014,"July",13,13.6
"409",2014,"July",14,13.5
"410",2014,"July",15,13.2
"411",2014,"July",16,14.7
"412",2014,"July",17,12.3
"413",2014,"July",18,12.5
"414",2014,"July",19,12.7
"415",2014,"July",20,13.7
"416",2014,"July",21,12.9
"417",2014,"July",22,12.2
"418",2014,"July",23,14.1
"419",2014,"July",24,15
"420",2014,"July",25,16.4
"421",2014,"July",26,14.8
"422",2014,"July",27,16.8
"423",2014,"July",28,16.9
"424",2014,"July",29,16.8
"425",2014,"July",30,19.3
"426",2014,"July",31,19.7
"427",2014,"August",1,10.1
"428",2014,"August",2,11.9
"429",2014,"August",3,14.4
"430",2014,"August",4,14.9
"431",2014,"August",5,16.8
"432",2014,"August",6,16
"433",2014,"August",7,14.1
"434",2014,"August",8,16.3
"435",2014,"August",9,15.2
"436",2014,"August",10,12.2
"437",2014,"August",11,12.2
"438",2014,"August",12,11.9
"439",2014,"August",13,13.5
"440",2014,"August",14,13.7
"441",2014,"August",15,16.9
"442",2014,"August",16,11.7
"443",2014,"August",17,15
"444",2014,"August",18,13.5
"445",2014,"August",19,13.4
"446",2014,"August",20,12.6
"447",2014,"August",21,17.8
"448",2014,"August",22,20.2
"449",2014,"August",23,20.7
"450",2014,"August",24,15.5
"451",2014,"August",25,16.6
"452",2014,"August",26,17.6
"453",2014,"August",27,17.4
"454",2014,"August",28,18.8
"455",2014,"August",29,14.9
"456",2014,"August",30,21.1
"457",2014,"August",31,21.8
"458",2014,"September",1,15.5
"459",2014,"September",2,14.2
"460",2014,"September",3,13.8
"461",2014,"September",4,14.3
"462",2014,"September",5,15.1
"463",2014,"September",6,18.1
"464",2014,"September",7,20.8
"465",2014,"September",8,21.5
"466",2014,"September",9,20.1
"467",2014,"September",10,19.3
"468",2014,"September",11,16.4
"469",2014,"September",12,15.5
"470",2014,"September",13,17.2
"471",2014,"September",14,19.8
"472",2014,"September",15,18.4
"473",2014,"September",16,14.8
"474",2014,"September",17,15.9
"475",2014,"September",18,13.5
"476",2014,"September",19,14.7
"477",2014,"September",20,15.1
"478",2014,"September",21,16.4
"479",2014,"September",22,23.3
"480",2014,"September",23,25.7
"481",2014,"September",24,23.8
"482",2014,"September",25,15.4
"483",2014,"September",26,18.7
"484",2014,"September",27,23.2
"485",2014,"September",28,28
"486",2014,"September",29,23.3
"487",2014,"September",30,24
"488",2014,"October",1,15.2
"489",2014,"October",2,17.1
"490",2014,"October",3,19.6
"491",2014,"October",4,26.3
"492",2014,"October",5,17.4
"493",2014,"October",6,25.4
"494",2014,"October",7,17.2
"495",2014,"October",8,18.6
"496",2014,"October",9,21.9
"497",2014,"October",10,24.5
"498",2014,"October",11,20
"499",2014,"October",12,26.9
"500",2014,"October",13,14.6
"501",2014,"October",14,15.6
"502",2014,"October",15,15.4
"503",2014,"October",16,15.6
"504",2014,"October",17,16.3
"505",2014,"October",18,24.6
"506",2014,"October",19,29.2
"507",2014,"October",20,20.7
"508",2014,"October",21,28.2
"509",2014,"October",22,32.3
"510",2014,"October",23,22.3
"511",2014,"October",24,30.3
"512",2014,"October",25,18.2
"513",2014,"October",26,24.7
"514",2014,"October",27,19.4
"515",2014,"October",28,19.5
"516",2014,"October",29,21.8
"517",2014,"October",30,21.3
"518",2014,"October",31,32.3
"519",2014,"November",1,17.2
"520",2014,"November",2,15.4
"521",2014,"November",3,23.1
"522",2014,"November",4,28.8
"523",2014,"November",5,16.8
"524",2014,"November",6,22.5
"525",2014,"November",7,32.1
"526",2014,"November",8,34.9
"527",2014,"November",9,17.5
"528",2014,"November",10,19.6
"529",2014,"November",11,17
"530",2014,"November",12,22.8
"531",2014,"November",13,30.6
"532",2014,"November",14,18.9
"533",2014,"November",15,17.6
"534",2014,"November",16,17.6
"535",2014,"November",17,19.1
"536",2014,"November",18,19.9
"537",2014,"November",19,29.2
"538",2014,"November",20,28.4
"539",2014,"November",21,22.2
"540",2014,"November",22,31
"541",2014,"November",23,24.5
"542",2014,"November",24,19.7
"543",2014,"November",25,20.9
"544",2014,"November",26,18.9
"545",2014,"November",27,18.3
"546",2014,"November",28,18.8
"547",2014,"November",29,24.1
"548",2014,"November",30,35
"549",2014,"December",1,28.1
"550",2014,"December",2,24.3
"551",2014,"December",3,23.9
"552",2014,"December",4,25.6
"553",2014,"December",5,20.4
"554",2014,"December",6,22.7
"555",2014,"December",7,17.8
"556",2014,"December",8,20.1
"557",2014,"December",9,19
"558",2014,"December",10,20
"559",2014,"December",11,19.8
"560",2014,"December",12,26.6
"561",2014,"December",13,30.7
"562",2014,"December",14,25.1
"563",2014,"December",15,22.9
"564",2014,"December",16,32.3
"565",2014,"December",17,21.6
"566",2014,"December",18,24.8
"567",2014,"December",19,19.3
"568",2014,"December",20,22.5
"569",2014,"December",21,33.1
"570",2014,"December",22,23.6
"571",2014,"December",23,26.5
"572",2014,"December",24,21.3
"573",2014,"December",25,23
"574",2014,"December",26,18.9
"575",2014,"December",27,21.1
"576",2014,"December",28,32
"577",2014,"December",29,26.2
"578",2014,"December",30,23.4
"579",2014,"December",31,25.3
"580",2015,"January",1,26.9
"581",2015,"January",2,38.8
"582",2015,"January",3,38.2
"583",2015,"January",4,21.4
"584",2015,"January",5,22
"585",2015,"January",6,26
"586",2015,"January",7,37.4
"587",2015,"January",8,28.2
"588",2015,"January",9,18
"589",2015,"January",10,21.7
"590",2015,"January",11,27.5
"591",2015,"January",12,31.3
"592",2015,"January",13,25.6
"593",2015,"January",14,22.7
"594",2015,"January",15,20
"595",2015,"January",16,27.3
"596",2015,"January",17,25
"597",2015,"January",18,19.5
"598",2015,"January",19,23.6
"599",2015,"January",20,30.4
"600",2015,"January",21,33.1
"601",2015,"January",22,35.8
"602",2015,"January",23,25
"603",2015,"January",24,26.3
"604",2015,"January",25,22
"605",2015,"January",26,19.8
"606",2015,"January",27,19.1
"607",2015,"January",28,25.4
"608",2015,"January",29,22.2
"609",2015,"January",30,21
"610",2015,"January",31,20.2
"611",2015,"February",1,19
"612",2015,"February",2,21.1
"613",2015,"February",3,20
"614",2015,"February",4,19
"615",2015,"February",5,24.2
"616",2015,"February",6,35.7
"617",2015,"February",7,35
"618",2015,"February",8,21.5
"619",2015,"February",9,28.3
"620",2015,"February",10,27.8
"621",2015,"February",11,26.8
"622",2015,"February",12,21.9
"623",2015,"February",13,32.4
"624",2015,"February",14,25.1
"625",2015,"February",15,34.4
"626",2015,"February",16,24.6
"627",2015,"February",17,20.6
"628",2015,"February",18,21.2
"629",2015,"February",19,26.9
"630",2015,"February",20,25.3
"631",2015,"February",21,36.1
"632",2015,"February",22,35.3
"633",2015,"February",23,29.3
"634",2015,"February",24,20.1
"635",2015,"February",25,27
"636",2015,"February",26,23.2
"637",2015,"February",27,24.3
"638",2015,"February",28,32.3
"639",2015,"March",1,20.8
"640",2015,"March",2,23
"641",2015,"March",3,22.7
"642",2015,"March",4,23.5
"643",2015,"March",5,18.6
"644",2015,"March",6,21.1
"645",2015,"March",7,22.6
"646",2015,"March",8,24.4
"647",2015,"March",9,23.8
"648",2015,"March",10,21.7
"649",2015,"March",11,23.8
"650",2015,"March",12,19.9
"651",2015,"March",13,20.4
"652",2015,"March",14,30.1
"653",2015,"March",15,18.3
"654",2015,"March",16,25.5
"655",2015,"March",17,26.2
"656",2015,"March",18,24.4
"657",2015,"March",19,33.5
"658",2015,"March",20,19.6
"659",2015,"March",21,22.7
"660",2015,"March",22,28.8
"661",2015,"March",23,27
"662",2015,"March",24,15.3
"663",2015,"March",25,20.4
"664",2015,"March",26,18
"665",2015,"March",27,18.1
"666",2015,"March",28,19.1
"667",2015,"March",29,22.7
"668",2015,"March",30,23.1
"669",2015,"March",31,25.3
"670",2015,"April",1,29
"671",2015,"April",2,17.2
"672",2015,"April",3,20.9
"673",2015,"April",4,23.5
"674",2015,"April",5,18.5
"675",2015,"April",6,18.4
"676",2015,"April",7,17.3
"677",2015,"April",8,17.7
"678",2015,"April",9,19.1
"679",2015,"April",10,18.7
"680",2015,"April",11,23.7
"681",2015,"April",12,18.3
"682",2015,"April",13,19.1
"683",2015,"April",14,24.7
"684",2015,"April",15,27.6
"685",2015,"April",16,17.8
"686",2015,"April",17,17.1
"687",2015,"April",18,21.9
"688",2015,"April",19,14.7
"689",2015,"April",20,16.2
"690",2015,"April",21,17.7
"691",2015,"April",22,19.5
"692",2015,"April",23,19.2
"693",2015,"April",24,21.1
"694",2015,"April",25,15
"695",2015,"April",26,15.4
"696",2015,"April",27,15.1
"697",2015,"April",28,16
"698",2015,"April",29,17.1
"699",2015,"April",30,19.6
